Timestamp,DHT_Temp(C),DHT_Hum(%),UV_Raw,Press(mBar),Press_Temp(C),Press_Alt(Ft),Probe_Temp(C),CO2(ppm),SCD_Temp(C),SCD_Hum(%)
2025-10-26T08:17:57,4.8,83.1,2,1010.65,5.64,71.06,3.5,549,4.13,63.42
2025-10-26T08:18:02,4.8,85.4,2,1010.63,5.67,71.6,3.5,552,4.18,64.93
2025-10-26T08:18:07,4.8,85.5,2,1010.68,5.69,70.23,3.5,543,4.08,66.21
2025-10-26T08:18:13,4.8,85.4,2,1010.5,5.7,75.16,3.5,539,4.02,67.35
2025-10-26T08:18:18,4.8,85.4,2,1010.6,5.75,72.43,3.5,541,3.9,68.41
2025-10-26T08:18:23,4.8,85.7,2,1010.51,5.8,74.89,3.5,531,3.92,69.38
2025-10-26T08:18:28,4.8,85.9,2,1010.6,5.84,72.43,3.5,519,3.96,70.2
2025-10-26T08:18:33,4.8,86.1,2,1010.58,5.87,72.97,3.5,429,4.02,70.97
2025-10-26T08:18:38,4.8,86.3,2,1010.52,5.89,74.61,3.5,433,4.01,71.66
2025-10-26T08:18:43,4.8,86.2,2,1010.56,5.92,73.52,3.5,439,3.99,72.3
2025-10-26T08:18:48,4.8,86.1,2,1010.66,5.95,70.78,3.5,560,3.87,73.53
2025-10-26T08:18:54,4.8,86.1,2,1010.66,5.95,70.78,3.5,503,3.83,74.02
2025-10-26T08:18:59,4.8,86.2,2,1010.64,5.98,71.33,3.5,501,3.85,74.52
2025-10-26T08:19:04,4.8,86.2,2,1010.68,6.01,70.23,3.5,502,3.9,74.88
2025-10-26T08:19:09,4.8,86.3,2,1010.66,6.04,70.78,3.5,502,3.93,75.17
2025-10-26T08:19:14,4.8,86.3,2,1010.6,6.06,72.43,4,502,3.96,75.37
2025-10-26T08:19:19,4.9,86.5,2,1010.64,6.07,71.33,4,503,4.02,75.56
2025-10-26T08:19:24,4.9,86.7,2,1010.69,6.1,69.97,4,504,4.02,75.71
2025-10-26T08:19:30,4.9,86.9,2,1010.74,6.12,68.6,4,505,4,75.86
2025-10-26T08:19:35,4.9,86.8,2,1010.62,6.12,71.88,4,517,3.92,76.07
2025-10-26T08:19:40,4.9,86.7,3,1010.72,6.15,69.14,4,517,4.14,76.2
2025-10-26T08:19:45,4.9,86.6,2,1010.65,6.17,71.06,4,516,4.26,76.14
2025-10-26T08:19:50,4.9,86.6,2,1010.65,6.17,71.06,4,516,4.28,76.12
2025-10-26T08:19:55,4.9,86.4,2,1010.65,6.17,71.06,4,515,4.08,76.28
2025-10-26T08:20:00,4.9,86.3,2,1010.7,6.18,69.69,4,513,4.07,76.39
2025-10-26T08:20:05,4.9,86,2,1010.68,6.23,70.23,4,510,4.12,76.4
